Method,Next_Period_Forecast,Note,Bias,MAD,MSE,MAPE,RSFE,Tracking_Signal
Multiplicative Decomposition,7.983575986546433,Multiplicative decomposition is considered because the series is positive.,0.0012335786896601848,1.9495508108587687,8.667256828408423,11.022710390501198,0.07154756400029072,0.03669951231934002
Additive Decomposition,7.983575986546433,"Additive decomposition separates trend, seasonal, and random components.",-0.003464484134566394,1.9069487747380967,7.795931231570701,11.135521469502102,-0.20094007980485085,-0.10537256294807829
Trend-Adjusted Exponential Smoothing,8.9756784647096,Holt trend-adjusted smoothing with optimized level and trend parameters.,0.005067064726507011,3.2408051201454238,24.760158070605986,19.806879949267227,0.3141580130434347,0.09693826114090365
Exponential Smoothing,9.337946907305524,Simple exponential smoothing with optimized alpha.,-0.35977679652505523,3.235628267232504,24.7336510115997,20.020923865460112,-22.306161384553423,-6.8939196787374835
Naive Forecasting,9.33813187282947,Previous quarter value is used as the next forecast.,-0.365601584393507,3.2885984968909376,25.139090875058862,20.348716790931864,-22.301696648003926,-6.781520051501603
Weighted Moving Average,8.729497471019283,"Recent quarters receive larger weights: 0.10, 0.20, 0.30, 0.40.",-0.5748121942458447,4.029304377640564,35.18458982317818,26.92103299402811,-33.33910726625899,-8.274159542591157
Moving Average,8.744721912195915,Four-quarter moving average is used because the data are quarterly.,-0.7268776157169407,4.502469994169353,43.78311414940583,31.234661009226688,-42.15890171158256,-9.36350531290111
Regression with Trend and Seasonal Dummies,6.2129681673724075,Regression uses a time trend and quarterly seasonal dummy variables.,-4.331912293034019e-17,5.4807020903128265,52.161757667120575,36.579443654675174,-2.6645352591003757e-15,-4.861667748389312e-16
Linear Trend Projection,7.444459752288857,Trend equation: y = 29.167 + -0.345t.,1.0005087596223491e-16,5.538857365183315,52.88779839456948,36.883545496162554,6.217248937900877e-15,1.1224786139072404e-15
Seasonal Indices,17.247287580619997,Quarterly seasonal indices: 1 1.071; 2 1.005; 3 0.942; 4 0.977,-4.001055759107797e-16,8.323849045617914,90.21057170261196,62.21519881920335,-2.4868995751603507e-14,-2.987679811985031e-15
